municipality,barangay,district,lat,lon,elevation_m
Laoac,Casanestebanan,5,16.0473,120.523786,20.0
Laoac,Casantiagoan,5,16.02328,120.56504,28.0
Laoac,DomingoAlarcio,5,16.023383,120.55195,25.0
Laoac,Inmanduyan,5,16.04702,120.50936,19.0
Laoac,Lebueg,5,16.028525,120.561337,29.0
Laoac,Maraboc,5,16.062956,120.521489,22.0
Laoac,Nanbagatan,5,16.039675,120.5306,21.0
Laoac,Panaga,5,16.0816,120.547255,37.0
Laoac,Poblacion,5,16.062333,120.5482,32.0
Laoac,Talogtog,5,16.057771,120.529643,28.0
Laoac,Turko,5,16.074367,120.531508,30.0
Laoac,Yatyat,5,16.013517,120.557417,27.0
Natividad,Barangobong,6,16.047371,120.780914,77.0
Natividad,BatchelorEast,6,16.0514,120.814783,120.0
Natividad,BatchelorWest,6,16.049067,120.806367,105.0
Natividad,Burgos,6,16.028643,120.7789,74.0
Natividad,Cacandungan,6,16.060467,120.834967,222.0
Natividad,Calapugan,6,16.037378,120.812667,106.0
Natividad,Canarem,6,16.037571,120.781371,76.0
Natividad,Luna,6,16.0139,120.787238,80.0
Natividad,PoblacionEast,6,16.04176,120.79306,88.0
Natividad,PoblacionWest,6,16.04678,120.79798,92.0
Natividad,Rizal,6,16.042729,120.779243,72.0
Natividad,Salud,6,16.053383,120.790067,85.0
Natividad,SanEugenio,6,16.074025,120.829775,413.0
Natividad,SanMacarioNorte,6,16.053092,120.84245,437.0
Natividad,SanMacarioSur,6,16.035614,120.8279,187.0
Natividad,SanMaximo,6,16.040156,120.803522,98.0
Natividad,SanMiguel,6,16.0219,120.79655,82.0
Natividad,Silag,6,16.011586,120.782686,77.0
Pozzorubio,Alipangpang,5,16.112171,120.553243,56.0
Pozzorubio,Amagbagan,5,16.09131,120.53622,38.0
Pozzorubio,Balacag,5,16.13625,120.4776,91.0
Pozzorubio,Banding,5,16.1039,120.54356,52.0
Pozzorubio,Bantugan,5,16.107988,120.52075,38.0
Pozzorubio,Batakil,5,16.150457,120.516643,66.0
Pozzorubio,Bobonan,5,16.140322,120.5203,53.0
Pozzorubio,Buneg,5,16.126175,120.56195,72.0
Pozzorubio,Cablong,5,16.12784,120.53274,62.0
Pozzorubio,Casanfernandoan,5,16.124829,120.477243,61.0
Pozzorubio,Castaño,5,16.114736,120.506436,40.0
Pozzorubio,Dilan,5,16.088471,120.520557,36.0
Pozzorubio,DonBenito,5,16.141843,120.497871,61.0
Pozzorubio,Haway,5,16.114767,120.481917,62.0
Pozzorubio,Imbalbalatong,5,16.128771,120.549471,73.0
Pozzorubio,Inoman,5,16.150243,120.529286,61.0
Pozzorubio,Laoac,5,16.14382,120.50617,81.0
Pozzorubio,Maambal,5,16.10248,120.4878,52.0
Pozzorubio,Malasin,5,16.10045,120.51985,36.0
Pozzorubio,Malokiat,5,16.127514,120.496329,49.0
Pozzorubio,Manaol,5,16.118883,120.510183,45.0
Pozzorubio,Nama,5,16.137325,120.534125,61.0
Pozzorubio,Nantangalan,5,16.092491,120.503209,43.0
Pozzorubio,Palacpalac,5,16.13195,120.52365,52.0
Pozzorubio,Palguyod,5,16.128929,120.5124,48.0
