municipality,barangay,district,lat,lon,elevation_m,soil_desc,soil_series,aez
Bautista,Baluyot,5,15.806614,120.474443,21.0,San Manuel sand,San Manuel,Lowlands
Bautista,Cabuaan,5,15.809444,120.480122,23.0,San Manuel sand,San Manuel,Lowlands
Bautista,Cacandongan,5,15.828487,120.490687,25.0,San Manuel sand,San Manuel,Lowlands
Bautista,Diaz,5,15.80404,120.510033,19.0,San Manuel silt loam,San Manuel,Lowlands
Bautista,Ketegan,5,15.82368,120.49276,21.0,San Manuel sand,San Manuel,Lowlands
Bautista,Nandacan,5,15.81924,120.48736,23.0,San Manuel sand,San Manuel,Lowlands
Bautista,Nibaliw Norte,5,15.8168,120.468983,24.0,San Manuel sand,San Manuel,Lowlands
Bautista,Nibaliw Sur,5,15.8119,120.47082,22.0,San Manuel sand,San Manuel,Lowlands
Bautista,Palisoc,5,15.819143,120.500271,21.0,San Manuel fine sandy loam,San Manuel,Lowlands
Bautista,Poblacion East,5,15.814113,120.485687,22.0,San Manuel sand,San Manuel,Lowlands
Bautista,Poblacion West,5,15.813863,120.477375,21.0,San Manuel sand,San Manuel,Lowlands
Bautista,Pogo,5,15.82454,120.50955,21.0,San Manuel fine sandy loam,San Manuel,Lowlands
Bautista,Poponto,5,15.776871,120.537057,16.0,San Manuel silt loam,San Manuel,Lowlands
Bautista,Primicias,5,15.805289,120.549844,23.0,San Manuel silt loam,San Manuel,Lowlands
Bautista,Sinabaan,5,15.8202,120.472883,26.0,San Manuel sand,San Manuel,Lowlands
Bautista,Vacante,5,15.801264,120.492136,21.0,San Manuel fine sandy loam,San Manuel,Lowlands
Bautista,Villanueva,5,15.822413,120.543262,19.0,San Manuel silt loam,San Manuel,Lowlands
Binalonan,Balangobong,5,16.02684,120.60524,34.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Bued,5,16.04544,120.5784,32.0,San Manuel silty clay loam,San Manuel,Lowlands
Binalonan,Bugayong,5,16.088786,120.567114,49.0,San Manuel fine sandy loam,San Manuel,Lowlands
Binalonan,Camangaan,5,16.100983,120.585167,62.0,San Manuel fine sandy loam,San Manuel,Lowlands
Binalonan,Canarvacanan,5,16.06075,120.580462,45.0,San Manuel silty clay loam,San Manuel,Lowlands
Binalonan,Capas,5,16.05885,120.610283,46.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Cili,5,16.08097,120.5827,49.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Dumayat,5,16.067583,120.572483,41.0,San Manuel silty clay loam,San Manuel,Lowlands
Binalonan,Linmansangan,5,16.055356,120.573944,38.0,San Manuel silty clay loam,San Manuel,Lowlands
Binalonan,Mangcasuy,5,16.077392,120.620783,58.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Moreno,5,16.109587,120.616263,253.0,Umingan silt loam,Umingan,Lowlands
Binalonan,Pasileng Norte,5,16.041062,120.593238,41.0,San Manuel fine sandy loam,San Manuel,Lowlands
Binalonan,Pasileng Sur,5,16.03302,120.60294,36.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Poblacion,5,16.050267,120.587917,36.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,San Felipe Central,5,16.049486,120.6271,49.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,San Felipe Sur,5,16.051045,120.603,41.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,San Pablo,5,16.03578,120.61882,39.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Santa Catalina,5,16.096712,120.620118,106.0,Umingan silt loam,Umingan,Lowlands
Binalonan,Santa Maria Norte,5,16.069067,120.587489,41.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Santiago,5,16.04622,120.5712,36.0,San Manuel silty clay loam,San Manuel,Lowlands
Binalonan,Santo Niño,5,16.061925,120.593437,43.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Sumabnit,5,16.030617,120.573333,31.0,San Manuel fine sandy loam,San Manuel,Lowlands
Binalonan,Tabuyoc,5,16.026162,120.587963,32.0,San Manuel sandy loam,San Manuel,Lowlands
Binalonan,Vacante,5,16.075214,120.569993,50.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Anis,5,16.037138,120.56035,30.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Balligi,5,16.060614,120.557843,32.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Banuar,5,16.059367,120.537083,26.0,San Manuel silty clay loam,San Manuel,Lowlands
