municipality,barangay,district,lat,lon
Natividad,PoblacionEast,6,16.04176,120.79306
Natividad,PoblacionWest,6,16.04678,120.79798
Natividad,Rizal,6,16.042729,120.779243
Natividad,Salud,6,16.053383,120.790067
Natividad,SanEugenio,6,16.074025,120.829775
Natividad,SanMacarioNorte,6,16.053092,120.84245
Natividad,SanMacarioSur,6,16.035614,120.8279
Natividad,SanMaximo,6,16.040156,120.803522
Natividad,SanMiguel,6,16.0219,120.79655
Natividad,Silag,6,16.011586,120.782686
Pozzorubio,Alipangpang,5,16.112171,120.553243
Pozzorubio,Amagbagan,5,16.09131,120.53622
Pozzorubio,Balacag,5,16.13625,120.4776
Pozzorubio,Banding,5,16.1039,120.54356
Pozzorubio,Bantugan,5,16.107988,120.52075
Pozzorubio,Batakil,5,16.150457,120.516643
Pozzorubio,Bobonan,5,16.140322,120.5203
Pozzorubio,Buneg,5,16.126175,120.56195
Pozzorubio,Cablong,5,16.12784,120.53274
Pozzorubio,Casanfernandoan,5,16.124829,120.477243
Pozzorubio,Castaño,5,16.114736,120.506436
Pozzorubio,Dilan,5,16.088471,120.520557
Pozzorubio,DonBenito,5,16.141843,120.497871
Pozzorubio,Haway,5,16.114767,120.481917
Pozzorubio,Imbalbalatong,5,16.128771,120.549471
Pozzorubio,Inoman,5,16.150243,120.529286
Pozzorubio,Laoac,5,16.14382,120.50617
Pozzorubio,Maambal,5,16.10248,120.4878
Pozzorubio,Malasin,5,16.10045,120.51985
Pozzorubio,Malokiat,5,16.127514,120.496329
Pozzorubio,Manaol,5,16.118883,120.510183
Pozzorubio,Nama,5,16.137325,120.534125
Pozzorubio,Nantangalan,5,16.092491,120.503209
Pozzorubio,Palacpalac,5,16.13195,120.52365
Pozzorubio,Palguyod,5,16.128929,120.5124
Pozzorubio,PoblacionI,5,16.11972,120.53428
Pozzorubio,PoblacionII,5,16.115617,120.534817
Pozzorubio,PoblacionIII,5,16.12086,120.54196
Pozzorubio,PoblacionIV,5,16.11468,120.54258
