municipality,barangay,district,lat,lon,elevation_m,avg_temp_c,annual_rainfall_mm
Binalonan,Cili,5,16.08097,120.5827,49.0,27.07,2209.4
Binalonan,Dumayat,5,16.067583,120.572483,41.0,27.09,2209.4
Binalonan,Linmansangan,5,16.055356,120.573944,38.0,27.1,2209.4
Binalonan,Mangcasuy,5,16.077392,120.620783,58.0,27.06,2209.4
Binalonan,Moreno,5,16.109587,120.616263,253.0,25.96,2178.9
Binalonan,Pasileng Norte,5,16.041062,120.593238,41.0,27.05,2209.4
Binalonan,Pasileng Sur,5,16.03302,120.60294,36.0,27.06,2209.4
Binalonan,Poblacion,5,16.050267,120.587917,36.0,27.09,2209.4
Binalonan,San Felipe Central,5,16.049486,120.6271,49.0,27.04,2238.0
Binalonan,San Felipe Sur,5,16.051045,120.603,41.0,27.09,2209.4
Binalonan,San Pablo,5,16.03578,120.61882,39.0,27.06,2209.4
Binalonan,Santa Catalina,5,16.096712,120.620118,106.0,26.22,2178.9
Binalonan,Santa Maria Norte,5,16.069067,120.587489,41.0,27.09,2209.4
Binalonan,Santiago,5,16.04622,120.5712,36.0,27.06,2209.4
Binalonan,Santo Niño,5,16.061925,120.593437,43.0,27.1,2209.4
Binalonan,Sumabnit,5,16.030617,120.573333,31.0,26.94,2478.6
Binalonan,Tabuyoc,5,16.026162,120.587963,32.0,27.07,2209.4
Binalonan,Vacante,5,16.075214,120.569993,50.0,27.08,2209.4
Laoac,Anis,5,16.037138,120.56035,30.0,27.07,2209.4
Laoac,Balligi,5,16.060614,120.557843,32.0,27.11,2209.4
Laoac,Banuar,5,16.059367,120.537083,26.0,26.86,2532.4
Laoac,Botique,5,16.076333,120.553183,42.0,26.82,2532.4
Laoac,Caaringayan,5,16.03872,120.5523,26.0,26.81,2532.4
Laoac,Cabilaoan West,5,16.023143,120.5419,23.0,27.0,2478.6
Laoac,Cabulalaan,5,16.071222,120.542033,37.0,26.84,2532.4
Laoac,Calaoagan,5,16.06424,120.5325,34.0,26.86,2532.4
Laoac,Calmay,5,16.035136,120.5117,23.0,26.85,2532.4
Laoac,Casampagaan,5,16.0512,120.551617,31.0,26.84,2532.4
Laoac,Casanestebanan,5,16.0473,120.523786,20.0,26.85,2532.4
Laoac,Casantiagoan,5,16.02328,120.56504,28.0,26.94,2478.6
Laoac,Domingo Alarcio,5,16.023383,120.55195,25.0,26.95,2478.6
Laoac,Inmanduyan,5,16.04702,120.50936,19.0,26.85,2532.4
Laoac,Lebueg,5,16.028525,120.561337,29.0,26.95,2478.6
Laoac,Maraboc,5,16.062956,120.521489,22.0,26.87,2532.4
Laoac,Nanbagatan,5,16.039675,120.5306,21.0,26.85,2532.4
Laoac,Panaga,5,16.0816,120.547255,37.0,26.84,2532.4
Laoac,Poblacion,5,16.062333,120.5482,32.0,26.85,2532.4
Laoac,Talogtog,5,16.057771,120.529643,28.0,26.87,2532.4
Laoac,Turko,5,16.074367,120.531508,30.0,26.86,2532.4
Laoac,Yatyat,5,16.013517,120.557417,27.0,26.95,2478.6
Natividad,Barangobong,6,16.047371,120.780914,77.0,26.76,2848.3
Natividad,Batchelor East,6,16.0514,120.814783,120.0,26.48,2848.3
Natividad,Batchelor West,6,16.049067,120.806367,105.0,26.59,2848.3
Natividad,Burgos,6,16.028643,120.7789,74.0,26.83,2480.6
Natividad,Cacandungan,6,16.060467,120.834967,222.0,25.8,2848.3
Natividad,Calapugan,6,16.037378,120.812667,106.0,26.57,2848.3
Natividad,Canarem,6,16.037571,120.781371,76.0,26.75,2848.3
Natividad,Luna,6,16.0139,120.787238,80.0,26.79,2480.6
Natividad,Poblacion East,6,16.04176,120.79306,88.0,26.67,2848.3
Natividad,Poblacion West,6,16.04678,120.79798,92.0,26.64,2848.3
Natividad,Rizal,6,16.042729,120.779243,72.0,26.78,2848.3
Natividad,Salud,6,16.053383,120.790067,85.0,26.7,2848.3
Natividad,San Eugenio,6,16.074025,120.829775,413.0,24.82,2805.8
Natividad,San Macario Norte,6,16.053092,120.84245,437.0,24.58,2805.8
Natividad,San Macario Sur,6,16.035614,120.8279,187.0,26.07,2848.3
Natividad,San Maximo,6,16.040156,120.803522,98.0,26.62,2848.3
Natividad,San Miguel,6,16.0219,120.79655,82.0,26.78,2480.6
Natividad,Silag,6,16.011586,120.782686,77.0,26.8,2480.6
Pozorrubio,Alipangpang,5,16.112171,120.553243,56.0,26.37,2370.5
Pozorrubio,Amagbagan,5,16.09131,120.53622,38.0,26.84,2532.4
Pozorrubio,Balacag,5,16.13625,120.4776,91.0,26.8,2524.9
Pozorrubio,Banding,5,16.1039,120.54356,52.0,26.41,2370.5
Pozorrubio,Bantugan,5,16.107988,120.52075,38.0,26.94,2532.4
Pozorrubio,Batakil,5,16.150457,120.516643,66.0,26.49,2453.4
Pozorrubio,Bobonan,5,16.140322,120.5203,53.0,26.39,2453.4
Pozorrubio,Buneg,5,16.126175,120.56195,72.0,26.34,2453.4
Pozorrubio,Cablong,5,16.12784,120.53274,62.0,26.39,2453.4
Pozorrubio,Casanfernandoan,5,16.124829,120.477243,61.0,26.85,2442.1
Pozorrubio,Castaño,5,16.114736,120.506436,40.0,26.87,2442.1
Pozorrubio,Dilan,5,16.088471,120.520557,36.0,26.86,2532.4
Pozorrubio,Don Benito,5,16.141843,120.497871,61.0,26.39,2453.4
Pozorrubio,Haway,5,16.114767,120.481917,62.0,26.86,2442.1
Pozorrubio,Imbalbalatong,5,16.128771,120.549471,73.0,26.36,2453.4
Pozorrubio,Inoman,5,16.150243,120.529286,61.0,26.5,2453.4
Pozorrubio,Laoac,5,16.14382,120.50617,81.0,26.35,2453.4
Pozorrubio,Maambal,5,16.10248,120.4878,52.0,26.88,2442.1
Pozorrubio,Malasin,5,16.10045,120.51985,36.0,26.84,2532.4
Pozorrubio,Malokiat,5,16.127514,120.496329,49.0,26.89,2524.9
Pozorrubio,Manaol,5,16.118883,120.510183,45.0,26.85,2442.1
Pozorrubio,Nama,5,16.137325,120.534125,61.0,26.39,2453.4
Pozorrubio,Nantangalan,5,16.092491,120.503209,43.0,26.83,2532.4
Pozorrubio,Palacpalac,5,16.13195,120.52365,52.0,26.4,2453.4
Pozorrubio,Palguyod,5,16.128929,120.5124,48.0,26.41,2453.4
Pozorrubio,Poblacion I,5,16.11972,120.53428,56.0,26.4,2370.5
Pozorrubio,Poblacion II,5,16.115617,120.534817,49.0,26.41,2370.5
Pozorrubio,Poblacion III,5,16.12086,120.54196,57.0,26.39,2370.5
Pozorrubio,Poblacion IV,5,16.11468,120.54258,56.0,26.4,2370.5
Pozorrubio,Rosario,5,16.10018,120.56152,53.0,26.38,2370.5
Pozorrubio,Sugcong,5,16.148117,120.546817,150.0,26.21,2453.4
Pozorrubio,Talogtog,5,16.10945,120.534633,45.0,26.89,2370.5
Pozorrubio,Tulnac,5,16.117529,120.525029,46.0,26.87,2370.5
Pozorrubio,Villegas,5,16.141614,120.554571,85.0,26.32,2453.4
Rosales,Acop,6,15.86822,120.65452,42.0,27.09,2303.3
Rosales,Bakitbakit,6,15.8806,120.6515,35.0,27.11,2465.3
Rosales,Balingcanaway,6,15.896867,120.651517,40.0,27.11,2469.2
Rosales,Cabalaoangan Norte,6,15.885,120.627157,32.0,27.1,2469.2
Rosales,Cabalaoangan Sur,6,15.879786,120.634929,34.0,27.11,2469.2
Rosales,Calanutan,6,15.86538,120.63548,31.0,26.89,2587.8
Rosales,Camangaan,6,15.848967,120.634317,33.0,26.92,2587.8
Rosales,Capitan Tomas,6,15.909583,120.6458,35.0,27.1,2469.2
Rosales,Carmay East,6,15.91566,120.64044,33.0,27.1,2469.2
Rosales,Carmay West,6,15.913167,120.624417,30.0,27.11,2440.6
Rosales,Carmen East,6,15.88938,120.60206,28.0,26.9,2721.2
Rosales,Carmen West,6,15.88992,120.5942,28.0,26.9,2721.2
Rosales,Casanicolasan,6,15.927971,120.641871,32.0,27.11,2469.2
Rosales,Coliling,6,15.85408,120.62198,33.0,26.89,2561.4
